#FamilyID	pvalue	Significant at 0.05
N0.HOG0001159	0.954	n
N0.HOG0001161	0.395	n
N0.HOG0001162	0.892	n
N0.HOG0001163	0.759	n
N0.HOG0001164	0.65	n
N0.HOG0001165	0.508	n
N0.HOG0001166	0.888	n
N0.HOG0001167	0	y
N0.HOG0001168	0.755	n
N0.HOG0001169	0.406	n
N0.HOG0001170	0	y
N0.HOG0001171	0.934	n
N0.HOG0001172	0.934	n
N0.HOG0001173	0.714	n
N0.HOG0001174	0.772	n
N0.HOG0001175	0.178	n
N0.HOG0001178	0.284	n
N0.HOG0001179	0.619	n
N0.HOG0001180	0.722	n
N0.HOG0001181	0.455	n
N0.HOG0001182	0.453	n
N0.HOG0001183	0.29	n
N0.HOG0001185	0.67	n
N0.HOG0001189	0.131	n
N0.HOG0001190	0.43	n
N0.HOG0001191	0	y
N0.HOG0001192	0.111	n
N0.HOG0001194	0.035	y
N0.HOG0001202	0.242	n
N0.HOG0001206	0	y
N0.HOG0001207	0.826	n
N0.HOG0001208	0.418	n
N0.HOG0001209	0.31	n
N0.HOG0001211	0.903	n
N0.HOG0001212	0.828	n
N0.HOG0001213	0	y
N0.HOG0001217	0.351	n
N0.HOG0001218	0	y
N0.HOG0001219	0.935	n
N0.HOG0001220	0.552	n
N0.HOG0001222	0.474	n
N0.HOG0001223	0.011	y
N0.HOG0001224	0.442	n
N0.HOG0001225	0.011	y
N0.HOG0001227	0.937	n
N0.HOG0001228	0.575	n
N0.HOG0001229	0.108	n
N0.HOG0001230	0.217	n
N0.HOG0001231	0.117	n
N0.HOG0001232	0.418	n
N0.HOG0001233	0.131	n
N0.HOG0001234	0.008	y
N0.HOG0001235	0.483	n
N0.HOG0001236	0.004	y
N0.HOG0001237	0.448	n
N0.HOG0001238	0.936	n
N0.HOG0001239	0.007	y
N0.HOG0001240	0.132	n
N0.HOG0001241	0.014	y
N0.HOG0001242	0.16	n
N0.HOG0001243	0.947	n
N0.HOG0001246	0.984	n
N0.HOG0001247	0	y
N0.HOG0001248	0.439	n
N0.HOG0001249	0.861	n
N0.HOG0001250	0.501	n
N0.HOG0001251	0.304	n
N0.HOG0001252	0.239	n
N0.HOG0001253	0.001	y
N0.HOG0001254	0.366	n
N0.HOG0001255	0.907	n
N0.HOG0001256	0.861	n
N0.HOG0001257	0.142	n
N0.HOG0001258	0.724	n
N0.HOG0001259	0.659	n
N0.HOG0001260	0.015	y
N0.HOG0001261	0.203	n
N0.HOG0001268	0	y
N0.HOG0001270	0.003	y
N0.HOG0001272	0.011	y
N0.HOG0001274	0.009	y
N0.HOG0001275	0	y
N0.HOG0001280	0	y
N0.HOG0001283	0	y
N0.HOG0001285	0.954	n
N0.HOG0001293	0.768	n
N0.HOG0001294	0.004	y
N0.HOG0001295	0	y
N0.HOG0001296	0.482	n
N0.HOG0001299	0.015	y
N0.HOG0001301	0.772	n
N0.HOG0001302	0.168	n
N0.HOG0001303	0.181	n
N0.HOG0001304	0.196	n
N0.HOG0001306	0.378	n
N0.HOG0001307	0.655	n
N0.HOG0001308	0.871	n
N0.HOG0001309	0.625	n
N0.HOG0001310	0.004	y
N0.HOG0001311	0.03	y
N0.HOG0001313	0.434	n
N0.HOG0001314	0.086	n
N0.HOG0001315	0.441	n
N0.HOG0001316	0.108	n
N0.HOG0001317	0.655	n
N0.HOG0001318	0.742	n
N0.HOG0001319	0.802	n
N0.HOG0001321	0.586	n
N0.HOG0001322	0.378	n
N0.HOG0001324	0.017	y
N0.HOG0001325	0.077	n
N0.HOG0001326	0.833	n
N0.HOG0001327	0.394	n
N0.HOG0001328	0	y
N0.HOG0001329	0.516	n
N0.HOG0001333	0.811	n
N0.HOG0001334	0.811	n
N0.HOG0001335	0.723	n
N0.HOG0001336	0.365	n
N0.HOG0001337	0.991	n
N0.HOG0001338	0.938	n
N0.HOG0001339	0.337	n
N0.HOG0001340	0.86	n
N0.HOG0001341	0.586	n
N0.HOG0001342	0.782	n
N0.HOG0001344	0.802	n
N0.HOG0001345	0.323	n
N0.HOG0001346	0.192	n
N0.HOG0001347	0.403	n
N0.HOG0001349	0.293	n
N0.HOG0001350	0.309	n
N0.HOG0001351	0.004	y
N0.HOG0001352	0.08	n
N0.HOG0001353	0.001	y
N0.HOG0001354	0.683	n
N0.HOG0001355	0.791	n
N0.HOG0001356	0.268	n
N0.HOG0001363	0.067	n
N0.HOG0001372	0.625	n
N0.HOG0001373	0.685	n
N0.HOG0001374	0.33	n
N0.HOG0001375	0.67	n
N0.HOG0001376	0.045	y
N0.HOG0001378	0	y
N0.HOG0001379	0	y
N0.HOG0001381	0.811	n
N0.HOG0001382	0.723	n
N0.HOG0001383	0.111	n
N0.HOG0001384	0.81	n
N0.HOG0001385	0.717	n
N0.HOG0001386	0.565	n
N0.HOG0001387	0.927	n
N0.HOG0001388	0.025	y
N0.HOG0001391	0.605	n
N0.HOG0001392	0.923	n
N0.HOG0001393	0.621	n
N0.HOG0001394	0.24	n
N0.HOG0001395	0.383	n
N0.HOG0001396	0.001	y
