#FamilyID	pvalue	Significant at 0.05
N0.HOG0001111	0.45	n
N0.HOG0001112	0.119	n
N0.HOG0001113	0.865	n
N0.HOG0001114	0.686	n
N0.HOG0001115	0.777	n
N0.HOG0001116	0.715	n
N0.HOG0001117	0.85	n
N0.HOG0001118	0.878	n
N0.HOG0001119	0.229	n
N0.HOG0001121	0.83	n
N0.HOG0001122	0.931	n
N0.HOG0001123	0.022	y
N0.HOG0001124	0.161	n
N0.HOG0001128	0.297	n
N0.HOG0001129	0.034	y
N0.HOG0001130	0.535	n
N0.HOG0001131	0.812	n
N0.HOG0001134	0.003	y
N0.HOG0001135	0.68	n
N0.HOG0001136	0.838	n
N0.HOG0001137	0.708	n
N0.HOG0001138	0.664	n
N0.HOG0001140	0.821	n
N0.HOG0001141	0.988	n
N0.HOG0001142	0.221	n
N0.HOG0001144	0.523	n
N0.HOG0001145	0.374	n
N0.HOG0001146	0.485	n
N0.HOG0001153	0.866	n
N0.HOG0001154	0.026	y
N0.HOG0001155	0.786	n
N0.HOG0001157	0.304	n
N0.HOG0001158	0.825	n
N0.HOG0001159	0.863	n
N0.HOG0001161	0.6	n
N0.HOG0001166	0.885	n
N0.HOG0001168	0.428	n
N0.HOG0001169	0.853	n
N0.HOG0001170	0.899	n
N0.HOG0001171	0.577	n
N0.HOG0001172	0.396	n
N0.HOG0001173	0.859	n
N0.HOG0001174	0.638	n
N0.HOG0001175	0.983	n
N0.HOG0001176	0.746	n
N0.HOG0001177	0.901	n
N0.HOG0001178	0.86	n
N0.HOG0001179	0.751	n
N0.HOG0001180	0.166	n
N0.HOG0001181	0.087	n
N0.HOG0001182	0.895	n
N0.HOG0001183	0.838	n
N0.HOG0001184	0.708	n
N0.HOG0001185	0.859	n
N0.HOG0001187	0.641	n
N0.HOG0001188	0.463	n
N0.HOG0001189	0.885	n
N0.HOG0001191	0.776	n
N0.HOG0001192	0.638	n
N0.HOG0001194	0.826	n
N0.HOG0001195	0.821	n
N0.HOG0001196	0.276	n
N0.HOG0001197	0.834	n
N0.HOG0001198	0.871	n
N0.HOG0001202	0.211	n
N0.HOG0001203	0.65	n
N0.HOG0001215	0.729	n
N0.HOG0001216	0.901	n
N0.HOG0001217	0.905	n
N0.HOG0001218	0.754	n
N0.HOG0001219	0.697	n
N0.HOG0001220	0.865	n
N0.HOG0001221	0.984	n
N0.HOG0001222	0.759	n
N0.HOG0001227	0.172	n
N0.HOG0001228	0.668	n
N0.HOG0001229	0.837	n
