OG	correlation_coeff	p-value	sig_after_multiple_testing
N0.HOG0000560	-0.2276721756467031	0.47667368931991294	n
N0.HOG0000625	-0.046270670700368326	0.8864552005114834	n
N0.HOG0000490	0.007251137838120374	0.9821566539187246	n
N0.HOG0002345	0.9225580879172384	1.924134407022793e-05	y
N0.HOG0000573	-0.1188811188811189	0.712884219214772	n
N0.HOG0011349	0.2562683300328092	0.4213999085391852	n
N0.HOG0000200	0.5454545454545455	0.06661188226688902	n
N0.HOG0018962	-0.03915210597723474	0.9038457694604445	n
N0.HOG0003035	0.22377622377622378	0.48445166145539886	n
N0.HOG0012168	0.39579745461116567	0.20280764325009978	n
N0.HOG0002098	0.4225456891223993	0.17117595198400154	n
N0.HOG0000555	-0.31468531468531474	0.31913878550330455	n
N0.HOG0002037	0.5454545454545455	0.06661188226688902	n
N0.HOG0000044	0.5314685314685316	0.07536233505348364	n
N0.HOG0000012	0.1996500434764287	0.5338670484331346	n
N0.HOG0000339	0.23240012901731957	0.4673126442064679	n
N0.HOG0001927	0.1188811188811189	0.712884219214772	n
N0.HOG0000613	-0.17482517482517487	0.5868236643627043	n
N0.HOG0000562	-0.4591474246421165	0.13321782133066423	n
N0.HOG0000526	0.034965034965034975	0.9140933424107598	n
N0.HOG0001719	0.4098079839779326	0.18582449084404484	n
N0.HOG0002028	0.38796177741078064	0.21270554169981246	n
N0.HOG0000156	0.3356643356643357	0.2861229029149875	n
N0.HOG0000068	0.6923076923076924	0.012593030496094107	n
N0.HOG0000234	0.05694851778506871	0.860457510377353	n
N0.HOG0000453	-0.006993006993006993	0.9827917689028476	n
N0.HOG0008798	0.5365842000209077	0.07207543088661057	n
N0.HOG0001429	0.1015763379090602	0.7534340837808129	n
N0.HOG0012931	-0.07042428152039987	0.827831199192635	n
N0.HOG0000618	0.234676366893346	0.4628366435492134	n
N0.HOG0000427	0.6013986013986015	0.03858845292201944	n
N0.HOG0000890	-0.027972027972027972	0.9312343512018808	n
N0.HOG0001353	0.7605822404203186	0.00407753363322812	n
N0.HOG0000804	0.04895104895104895	0.8799185788786749	n
N0.HOG0000170	-0.1225921319592106	0.7042726674352059	n
N0.HOG0001388	0.09426479189556485	0.7707468015755511	n
N0.HOG0001692	0.20423041640915962	0.5243243274359985	n
N0.HOG0002136	0.06526024054308335	0.8403071182802725	n
N0.HOG0000169	-0.24168163157672948	0.4491887440384277	n
N0.HOG0000940	0.1619758474969197	0.615006487406935	n
N0.HOG0000125	0.07746670967243986	0.81087645719889	n
N0.HOG0000610	0.03152369107522558	0.9225248645215405	n
N0.HOG0001206	0.6153846153846154	0.03316990109010587	n
N0.HOG0004415	0.23203641081985196	0.46802972364550155	n
N0.HOG0000073	0.25874125874125875	0.41677476889913834	n
N0.HOG0000814	0.39860139860139865	0.19933549461780897	n
N0.HOG0000585	0.0	1.0	n
N0.HOG0000305	0.04195804195804196	0.8969858708195542	n
N0.HOG0000365	-0.11826247919781652	0.7143228241208927	n
N0.HOG0000126	0.08391608391608392	0.7954145018538977	n
N0.HOG0001763	0.6853146853146854	0.013905968814362752	n
N0.HOG0007183	0.31905006487729637	0.3121040651249244	n
N0.HOG0003797	0.38879218992778225	0.21164296722004275	n
N0.HOG0003107	0.15384615384615385	0.6330906812462618	n
N0.HOG0001574	-0.006993006993006993	0.9827917689028476	n
N0.HOG0000861	0.4685314685314686	0.124454791188834	n
N0.HOG0000338	0.5588073307659867	0.05893737177382145	n
N0.HOG0001066	-0.06338185336835989	0.844853681587023	n
N0.HOG0001034	0.22377622377622378	0.48445166145539886	n
N0.HOG0004994	0.37728393032608015	0.22665643326935325	n
N0.HOG0010919	0.07474492959290267	0.8174207303894088	n
N0.HOG0000415	-0.02097902097902098	0.9484022252365223	n
N0.HOG0013621	0.042711388338801524	0.8951451878401395	n
N0.HOG0001502	0.1126788504326398	0.7273453279440116	n
N0.HOG0002176	0.5849396010625192	0.045739074410112046	n
N0.HOG0000576	0.16812635240120308	0.6014537771328919	n
N0.HOG0001295	-0.03152369107522558	0.9225248645215405	n
N0.HOG0001411	-0.13525272973953817	0.67513751307536	n
