OG	correlation_coeff	p-value	sig_after_multiple_testing
N0.HOG0000715	-0.4377917304727157	0.15462561279702763	n
N0.HOG0000587	0.029004551352481495	0.9287016154017113	n
N0.HOG0000414	0.16422255292549076	0.6100427471097243	n
N0.HOG0000712	-0.028021058733533853	0.9311140674192737	n
N0.HOG0010910	0.4350682702872224	0.15750401510460624	n
N0.HOG0001420	-0.05694851778506871	0.860457510377353	n
N0.HOG0001223	0.006993006993006993	0.9827917689028476	n
N0.HOG0011280	0.0	1.0	n
N0.HOG0000120	-0.08391608391608392	0.7954145018538977	n
N0.HOG0000444	0.21678321678321683	0.49855598552418856	n
N0.HOG0003109	-0.16783216783216784	0.602099427786538	n
N0.HOG0000138	0.23140450639500973	0.46927675574955385	n
N0.HOG0002112	-0.19264477879304523	0.548602518561392	n
N0.HOG0002290	0.2867132867132868	0.36625146058358227	n
N0.HOG0003221	0.3916083916083916	0.2080634636953532	n
N0.HOG0001010	-0.09859399412855982	0.7604837400712293	n
N0.HOG0013096	-0.29004551352481495	0.3604571272621032	n
N0.HOG0000399	-0.07746670967243986	0.81087645719889	n
N0.HOG0000775	-0.006993006993006993	0.9827917689028476	n
N0.HOG0001910	0.05800910270496299	0.8578817998209817	n
N0.HOG0010885	0.4518395720782334	0.14031277047271032	n
N0.HOG0004366	-0.07474492959290267	0.8174207303894088	n
N0.HOG0003725	0.3843103054203798	0.2174161895643392	n
N0.HOG0000024	-0.23117373455165427	0.4697325571728438	n
N0.HOG0002051	0.24168163157672948	0.4491887440384277	n
N0.HOG0000903	0.034965034965034975	0.9140933424107598	n
N0.HOG0002140	0.11188811188811189	0.729194990751066	n
N0.HOG0001253	-0.4055944055944056	0.19083587400450033	n
N0.HOG0001114	0.3916083916083916	0.2080634636953532	n
N0.HOG0000541	0.01751316170845866	0.9569188239005484	n
N0.HOG0000198	0.5034965034965035	0.09515736659412469	n
N0.HOG0001445	0.5314685314685316	0.07536233505348364	n
N0.HOG0001065	0.4895104895104896	0.106252371759346	n
N0.HOG0005541	0.14685314685314685	0.6487957097846664	n
N0.HOG0000303	-0.22377622377622378	0.48445166145539886	n
N0.HOG0001098	0.41331061631962435	0.1817214774016019	n
N0.HOG0000141	0.2937062937062937	0.35414764123292175	n
N0.HOG0003949	0.1885295837911297	0.5573365380454538	n
N0.HOG0001170	-0.02097902097902098	0.9484022252365223	n
N0.HOG0000767	-0.6853146853146854	0.013905968814362752	n
N0.HOG0000039	-0.21678321678321683	0.49855598552418856	n
N0.HOG0001097	0.1996500434764287	0.5338670484331346	n
N0.HOG0000108	0.5734265734265735	0.05126558978649144	n
N0.HOG0011509	0.41331061631962435	0.1817214774016019	n
N0.HOG0000142	-0.39860139860139865	0.19933549461780897	n
N0.HOG0000640	0.1690182756489597	0.599497869823576	n
N0.HOG0001487	0.10489510489510491	0.7456094809807079	n
N0.HOG0000375	0.17482517482517487	0.5868236643627043	n
N0.HOG0000750	-0.2253577008652796	0.4812874129466269	n
N0.HOG0002142	0.3045477892010557	0.3358099009982606	n
N0.HOG0000445	0.16783216783216784	0.602099427786538	n
N0.HOG0000088	0.5804195804195805	0.04785597684206058	n
